rank,val_sharpe,test_sharpe,test_return,test_max_dd,test_win_rate,test_trades,test_profit_factor,param_enable_short,param_adapt_to_regime,param_exit_on_golden_cross,param_exit_price_above_kijun,param_exit_price_above_cloud,param_max_positions,param_trailing_stop_pct,param_rsi_pullback_threshold,param_rsi_bounce_level,param_stop_loss_pct,param_take_profit_pct,param_position_size_pct,param_require_uptrend,param_require_price_above_cloud,param_require_cloud_bullish,param_enable_pullback_entry,param_enable_trend_entry,param_exit_on_death_cross,param_exit_price_below_kijun,param_exit_price_below_cloud,param_exit_rsi_overbought,param_require_volume_above_avg,param_min_cloud_width_pct
1,6.471496363815282,6.6093511774932034,0.2955311886338084,0.7807927964955708,0.42105263157894735,19,2.062495647853084,False,False,False,False,False,1,3.0,42,45,3.0,25.0,75.0,False,False,False,False,True,True,False,False,False,True,2.0
2,9.329803316102346,7.2636700211893555,0.18746341619911,0.7751913641180413,0.34782608695652173,23,2.203045575383036,False,False,False,False,False,1,3.0,30,58,5.0,30.0,75.0,False,True,False,False,True,False,True,True,False,False,2.0
3,8.537005168526214,8.18645398838536,0.2720389699179097,0.7740450295611282,0.3448275862068966,29,2.0852097540983405,False,False,False,False,False,1,3.0,30,50,5.0,30.0,75.0,True,False,False,False,True,False,True,False,False,False,3.0
4,8.759410880660603,8.583238299451668,0.0326250380511301,0.7751733989459165,0.34375,32,1.113190998124626,False,False,False,False,False,1,3.0,30,60,7.0,5.0,75.0,False,True,True,True,True,True,True,True,False,False,0.5
5,5.69373604770101,5.042539896769451,0.3772171568521746,0.7616601403607489,0.6363636363636364,11,6.584621014327135,False,False,False,False,False,1,3.0,40,48,5.0,20.0,75.0,False,True,False,False,True,True,False,True,False,False,5.0
6,4.984762130731681,5.670061919785204,0.2830629016026049,0.7682625510452105,0.5,14,2.7144144616139676,False,False,False,False,False,1,3.0,42,55,15.0,10.0,75.0,True,True,False,True,True,True,False,False,False,True,0.5
7,6.53924119715036,6.419829282868609,0.2161871674284259,0.769735499540423,0.4444444444444444,18,2.0238539886748277,False,False,False,False,False,1,3.0,35,45,4.0,25.0,75.0,True,True,False,True,True,False,True,False,False,True,1.0
8,0.0,0.0,0.4251224619610068,1.0,0.5,12,2.1948359323698354,False,False,False,False,False,1,3.0,30,55,4.0,12.0,100.0,False,False,False,False,True,False,False,False,False,True,5.0
9,5.904308191035381,6.1095363593027106,0.1678919332642494,0.5280451776783631,0.46511627906976744,43,1.9394394497396397,False,False,False,False,False,1,3.0,37,55,4.0,8.0,50.0,True,False,False,True,True,True,True,True,False,True,0.5
10,5.264026167154449,5.275868720715761,0.1817943980895914,0.533340686667378,0.34375,32,2.5904893935991686,False,False,False,False,False,1,3.0,30,52,3.0,20.0,50.0,True,False,False,False,True,True,True,False,False,True,3.0
